,Express,Normal (Academic),Normal (Technical),school,Integrated Programme.affliated,Integrated Programme.non-affliated,Express.affliated,Express.non-affliated,Normal (Academic).affliated,Normal (Academic).non-affliated,Normal (Technical).affliated,Normal (Technical).non-affliated
75,,,,paya-lebar-methodist-girls-school-secondary,,,205 - 255,237 - 261,161 - 199,173 - 199,139 - 157,121 - 159
76,226 - 244,186 - 199,146 - 159,pei-hwa-secondary-school,,,,,,,,
77,188 - 240,152 - 189,99 - 155,peicai-secondary-school,,,,,,,,
78,188 - 233,152 - 187,101 - 149,ping-yi-secondary-school,,,,,,,,
79,236 - 252,180 - 199,133 - 158,presbyterian-high-school,,,,,,,,
80,205 - 230,171 - 199,140 - 158,punggol-secondary-school,,,,,,,,
81,191 - 225,152 - 188,120 - 149,queenstown-secondary-school,,,,,,,,
82,222 - 242,168 - 194,131 - 152,queensway-secondary-school,,,,,,,,
83,261 - 282, - , - ,raffles-girls-school-secondary,,,,,,,,
84,259 - 277, - , - ,raffles-institution-secondary,,,,,,,,
85,200 - 223,158 - 199, - ,regent-secondary-school,,,,,,,,
86,253 - 276, - , - ,river-valley-high-school-secondary,,,,,,,,
87,235 - 255,183 - 199,144 - 159,riverside-secondary-school,,,,,,,,
88,188 - 225,153 - 194,115 - 151,sembawang-secondary-school,,,,,,,,
89,209 - 229,169 - 192,141 - 156,seng-kang-secondary-school,,,,,,,,
90,188 - 239,152 - 187,123 - 152,serangoon-garden-secondary-school,,,,,,,,
91,194 - 225,164 - 197,130 - 156,serangoon-secondary-school,,,,,,,,
92,,,,singapore-chinese-girls-school, - ,252 - 271,220 - 253,252 - 258, - , - , - , - 
93,,,,st-andrews-secondary-school,,,193 - 262,247 - 249,152 - 195,193 - 199,99 - 149,142 - 157
94,,,,st-gabriels-secondary-school,,,188 - 231,225 - 243,152 - 185,172 - 196,130 - 146,121 - 153
95,,,,st-hildas-secondary-school,,,188 - 232,228 - 241,152 - 196,178 - 196,116 - 150,127 - 156
96,,,,st-josephs-institution-secondary, - ,251 - 263,238 - 255,246 - 255, - , - , - , - 
97,,,,st-patricks-school,,,201 - 240,233 - 238,152 - 194,184 - 193,110 - 148,143 - 155
98,242 - 261,187 - 199,148 - 159,swiss-cottage-secondary-school,,,,,,,,
99,188 - 235,152 - 195,107 - 149,tanglin-secondary-school,,,,,,,,
100,237 - 271, - , - ,tanjong-katong-girls-school,,,,,,,,
101,234 - 256, - , - ,tanjong-katong-secondary-school,,,,,,,,
102,189 - 221,154 - 187,110 - 154,teck-whye-secondary-school,,,,,,,,
103,250 - 264, - , - ,temasek-junior-college-secondary,,,,,,,,
104,235 - 246,187 - 199,145 - 159,temasek-secondary-school,,,,,,,,
105,194 - 232,153 - 192,122 - 153,westwood-secondary-school,,,,,,,,
106,188 - 241,152 - 184,101 - 156,whitley-secondary-school,,,,,,,,
