school_name,subject_desc
VICTORIA JUNIOR COLLEGE,H1 JAPANESE LANGUAGE
VICTORIA JUNIOR COLLEGE,H1 MATHEMATICS
VICTORIA JUNIOR COLLEGE,H1 MALAY LANGUAGE
VICTORIA JUNIOR COLLEGE,H1 PHYSICS
VICTORIA JUNIOR COLLEGE,H1 PROJECT WORK
VICTORIA JUNIOR COLLEGE,H1 TAMIL LANGUAGE
VICTORIA JUNIOR COLLEGE,H2 CHINA STUDIES IN ENGLISH
VICTORIA JUNIOR COLLEGE,H2 ART
VICTORIA JUNIOR COLLEGE,H2 BIOLOGY
VICTORIA JUNIOR COLLEGE,H2 CHEMISTRY
VICTORIA JUNIOR COLLEGE,H2 ECONOMICS
VICTORIA JUNIOR COLLEGE,H2 LITERATURE IN ENGLISH
VICTORIA JUNIOR COLLEGE,H2 FRENCH LANGUAGE
VICTORIA JUNIOR COLLEGE,H2 GEOGRAPHY
VICTORIA JUNIOR COLLEGE,H2 GERMAN LANGUAGE
VICTORIA JUNIOR COLLEGE,H2 HISTORY
VICTORIA JUNIOR COLLEGE,H2 JAPANESE LANGUAGE
VICTORIA JUNIOR COLLEGE,H2 KNOWLEDGE & INQUIRY
VICTORIA JUNIOR COLLEGE,H2 MATHEMATICS
VICTORIA JUNIOR COLLEGE,H2 PHYSICS
VICTORIA JUNIOR COLLEGE,H2 TAMIL LANGUAGE & LITERATURE
VICTORIA JUNIOR COLLEGE,H2 THEATRE STUDIES AND DRAMA
VICTORIA JUNIOR COLLEGE,H3 PROTEOMICS
VICTORIA JUNIOR COLLEGE,H3 PHARMACEUTICAL CHEMISTRY
VICTORIA JUNIOR COLLEGE,H3 ECONOMICS
VICTORIA JUNIOR COLLEGE,H3 LITERATURE IN ENGLISH
VICTORIA JUNIOR COLLEGE,SMU GAME THEORY
VICTORIA JUNIOR COLLEGE,H3 GEOGRAPHY
VICTORIA JUNIOR COLLEGE,H3 HISTORY
VICTORIA JUNIOR COLLEGE,H3 MATHEMATICS
