school,Express,Normal (Academic),Normal (Technical),Integrated Programme,Integrated Programme.affliated,Integrated Programme.non-affliated,Express.affliated,Express.non-affliated,Normal (Academic).affliated,Normal (Academic).non-affliated,Normal (Technical).affliated,Normal (Technical).non-affliated
pei-hwa-secondary-school,226 - 244,186 - 199,146 - 159,,,,,,,,,
peicai-secondary-school,188 - 240,152 - 189,99 - 155,,,,,,,,,
ping-yi-secondary-school,188 - 233,152 - 187,101 - 149,,,,,,,,,
presbyterian-high-school,236 - 252,180 - 199,133 - 158,,,,,,,,,
punggol-secondary-school,205 - 230,171 - 199,140 - 158,,,,,,,,,
queenstown-secondary-school,191 - 225,152 - 188,120 - 149,,,,,,,,,
queensway-secondary-school,222 - 242,168 - 194,131 - 152,,,,,,,,,
raffles-girls-school-secondary,261 - 282, - , - ,,,,,,,,,
raffles-institution-secondary,259 - 277, - , - ,,,,,,,,,
regent-secondary-school,200 - 223,158 - 199, - ,,,,,,,,,
river-valley-high-school-secondary,253 - 276, - , - ,,,,,,,,,
riverside-secondary-school,235 - 255,183 - 199,144 - 159,,,,,,,,,
sembawang-secondary-school,188 - 225,153 - 194,115 - 151,,,,,,,,,
seng-kang-secondary-school,209 - 229,169 - 192,141 - 156,,,,,,,,,
serangoon-garden-secondary-school,188 - 239,152 - 187,123 - 152,,,,,,,,,
serangoon-secondary-school,194 - 225,164 - 197,130 - 156,,,,,,,,,
singapore-chinese-girls-school,,,,, - ,252 - 271,220 - 253,252 - 258, - , - , - , - 
st-andrews-secondary-school,,,,,,,193 - 262,247 - 249,152 - 195,193 - 199,99 - 149,142 - 157
st-gabriels-secondary-school,,,,,,,188 - 231,225 - 243,152 - 185,172 - 196,130 - 146,121 - 153
st-hildas-secondary-school,,,,,,,188 - 232,228 - 241,152 - 196,178 - 196,116 - 150,127 - 156
st-josephs-institution-secondary,,,,, - ,251 - 263,238 - 255,246 - 255, - , - , - , - 
st-patricks-school,,,,,,,201 - 240,233 - 238,152 - 194,184 - 193,110 - 148,143 - 155
swiss-cottage-secondary-school,242 - 261,187 - 199,148 - 159,,,,,,,,,
tanglin-secondary-school,188 - 235,152 - 195,107 - 149,,,,,,,,,
tanjong-katong-girls-school,237 - 271, - , - ,,,,,,,,,
tanjong-katong-secondary-school,234 - 256, - , - ,,,,,,,,,
teck-whye-secondary-school,189 - 221,154 - 187,110 - 154,,,,,,,,,
temasek-junior-college-secondary,250 - 264, - , - ,,,,,,,,,
temasek-secondary-school,235 - 246,187 - 199,145 - 159,,,,,,,,,
westwood-secondary-school,194 - 232,153 - 192,122 - 153,,,,,,,,,
whitley-secondary-school,188 - 241,152 - 184,101 - 156,,,,,,,,,
woodgrove-secondary-school,204 - 242,165 - 199,131 - 159,,,,,,,,,
woodlands-secondary-school,188 - 236,155 - 198,120 - 159,,,,,,,,,
xinmin-secondary-school,234 - 254,182 - 199,137 - 158,,,,,,,,,
yishun-secondary-school,207 - 237,169 - 198,118 - 157,,,,,,,,,
yishun-town-secondary-school,239 - 255,186 - 199,148 - 159,,,,,,,,,
yuan-ching-secondary-school,218 - 233,166 - 198,118 - 154,,,,,,,,,
yuhua-secondary-school,188 - 229,153 - 181,116 - 157,,,,,,,,,
yuying-secondary-school,188 - 230,152 - 193,123 - 156,,,,,,,,,
zhenghua-secondary-school,210 - 237,169 - 198,129 - 158,,,,,,,,,
zhonghua-secondary-school,236 - 264,181 - 199,134 - 159,,,,,,,,,
anglo-chinese-school-barker-road,,,,,,,198 - 239,246 - 251,159 - 198,188 - 199,120 - 149,129 - 157
bedok-south-secondary-school,213 - 237,159 - 199,96 - 152,,,,,,,,,
chij-secondary-toa-payoh,,,,,,,200 - 255,246 - 255,155 - 199,187 - 199,137 - 154,105 - 159
chij-st-nicholas-girls-school-secondary,,,,,,257 - 274,230 - 269,253 - 264,,,,
cedar-girls-secondary-school,249 - 263,,,253 - 270,,,,,,,,
chua-chu-kang-secondary-school,216 - 239,171 - 199,115 - 156,,,,,,,,,
damai-secondary-school,188 - 232,152 - 180,112 - 156,,,,,,,,,
jurong-west-secondary-school,214 - 248,172 - 196,125 - 157,,,,,,,,,
juying-secondary-school,198 - 235,160 - 197,135 - 157,,,,,,,,,
kent-ridge-secondary-school,217 - 237,167 - 199,108 - 148,,,,,,,,,
marsiling-secondary-school,188 - 235,152 - 187,104 - 152,,,,,,,,,
northbrooks-secondary-school,188 - 237,158 - 186,129 - 154,,,,,,,,,
northland-secondary-school,188 - 248,154 - 185,113 - 155,,,,,,,,,
pasir-ris-crest-secondary-school,220 - 248,172 - 199,128 - 159,,,,,,,,,
pasir-ris-secondary-school,220 - 236,170 - 197,123 - 153,,,,,,,,,
spectra-secondary-school,,,,,,,,,,,,
springfield-secondary-school,188 - 256,152 - 186,114 - 153,,,,,,,,,
st-anthonys-canossian-secondary-school,,,,,,,193 - 253,230 - 239,152 - 188,152 - 187,106 - 151,95 - 154
st-margarets-secondary-school,,,,,,,200 - 265,243 - 255,154 - 199,171 - 199,121 - 151,126 - 159
tampines-secondary-school,210 - 238,167 - 199,132 - 157,,,,,,,,,
unity-secondary-school,219 - 251,169 - 187,104 - 151,,,,,,,,,
orchid-park-secondary-school,214 - 234,177 - 198,126 - 158,,,,,,,,,
west-spring-secondary-school,225 - 242,175 - 199,135 - 159,,,,,,,,,
woodlands-ring-secondary-school,212 - 235,160 - 199,122 - 158,,,,,,,,,
yio-chu-kang-secondary-school,189 - 238,152 - 183,109 - 147,,,,,,,,,
nus-high-school-of-mathematics-and-science,,,,,,,,,,,,
northlight-school,,,,,,,,,,,,
school-of-science-and-technology-singapore,,,,,,,,,,,,
singapore-sports-school,,,,,,,,,,,,
yusof-ishak-secondary-school,,,,,,,,,,,,
peirce-secondary-school,214 - 231,160 - 199,108 - 138,,,,,,,,,
victoria-school,248 - 262,,,252 - 275,,,,,,,,
assumption-pathway-school,,,,,,,,,,,,
crest-secondary-school,,,,,,,,,,,,
school-of-the-arts-singapore,,,,,,,,,,,,
